{100001,1}
{100002,3}
{100003,5}
{200001,7}
{200002,9}
{300001,11}
{100004,13}
{100005,15}
{300002,17}
{100006,19}
{300003,21}
{200003,23}
{200004,25}
{200005,27}
{300004,29}
{100007,31}
{200006,33}
{400001,35}
{100008,37}
{200007,39}
{300005,41}
{300006,43}
{400002,45}
{200008,47}
{400003,49}
{100009,51}
{100010,53}
{200009,55}
{300007,57}
{100011,59}
{100012,61}
{200010,62}
