{1,1,200001,2,50,49}
{2,2,100001,1,48,4}
{3,3,100001,4,52,51}
{4,2,100002,3,2,6}
{5,4,100002,6,54,53}
{6,2,400001,5,4,8}
{7,5,400001,8,56,55}
{8,2,300001,7,6,10}
{9,6,300001,10,58,57}
{10,2,200002,9,8,12}
{11,7,200002,12,13,59}
{12,2,200003,11,10,14}
{13,7,200003,14,15,11}
{14,2,300002,13,12,61}
{15,7,300002,16,17,13}
{16,8,100003,15,60,63}
{17,7,100003,18,19,15}
{18,9,200004,17,62,65}
{19,7,200004,20,21,17}
{20,10,100004,19,64,67}
{21,7,100004,22,59,19}
{22,11,300003,21,66,24}
{23,6,300003,24,57,58}
{24,11,200005,23,22,26}
{25,5,200005,26,55,56}
{26,11,300004,25,24,28}
{27,4,300004,28,53,54}
{28,11,200006,27,26,30}
{29,3,200006,30,51,52}
{30,11,200007,29,28,32}
{31,1,200007,32,49,50}
{32,11,300005,31,30,34}
{33,2,300005,34,35,48}
{34,11,100005,33,32,36}
{35,2,100005,36,37,33}
{36,11,100006,35,34,38}
{37,2,100006,38,39,35}
{38,11,400002,37,36,40}
{39,2,400002,40,41,37}
{40,11,200008,39,38,66}
{41,2,200008,42,43,39}
{42,10,100007,41,67,64}
{43,2,100007,44,45,41}
{44,9,200009,43,65,62}
{45,2,200009,46,61,43}
{46,8,400003,45,63,60}
{48,2,200001,49,33,2}
{49,1,300005,48,1,31}
{50,1,100001,51,31,1}
{51,3,200007,50,3,29}
{52,3,100002,53,29,3}
{53,4,200006,52,5,27}
{54,4,400001,55,27,5}
{55,5,300004,54,7,25}
{56,5,300001,57,25,7}
{57,6,200005,56,9,23}
{58,6,200002,59,23,9}
{59,7,300003,58,11,21}
{60,8,300002,61,46,16}
{61,2,400003,60,14,45}
{62,9,100003,63,44,18}
{63,8,200009,62,16,46}
{64,10,200004,65,42,20}
{65,9,100007,64,18,44}
{66,11,100004,67,40,22}
{67,10,200008,66,20,42}
