{1,1,100001,2,3,2}
{2,1,100002,1,1,4}
{3,1,100002,4,5,1}
{4,1,100003,3,2,6}
{5,1,100003,6,7,3}
{6,1,200001,5,4,8}
{7,1,200001,8,9,5}
{8,1,200002,7,6,10}
{9,1,200002,10,11,7}
{10,1,300001,9,8,12}
{11,1,300001,12,13,9}
{12,1,100004,11,10,14}
{13,1,100004,14,15,11}
{14,1,100005,13,12,16}
{15,1,100005,16,64,13}
{16,1,300002,15,14,18}
{17,2,300002,18,66,65}
{18,1,100006,17,16,20}
{19,3,100006,20,68,67}
{20,1,300003,19,18,22}
{21,4,300003,22,70,69}
{22,1,200003,21,20,24}
{23,5,200003,24,72,71}
{24,1,200004,23,22,26}
{25,6,200004,26,27,73}
{26,1,200005,25,24,28}
{27,6,200005,28,29,25}
{28,1,300004,27,26,30}
{29,6,300004,30,31,27}
{30,1,100007,29,28,32}
{31,6,100007,32,33,29}
{32,1,200006,31,30,75}
{33,6,200006,34,35,31}
{34,7,400001,33,74,77}
{35,6,400001,36,37,33}
{36,8,100008,35,76,79}
{37,6,100008,38,39,35}
{38,9,200007,37,78,40}
{39,6,200007,40,73,37}
{40,9,300005,39,38,42}
{41,5,300005,42,71,72}
{42,9,300006,41,40,44}
{43,4,300006,44,69,70}
{44,9,400002,43,42,46}
{45,3,400002,46,67,68}
{46,9,200008,45,44,48}
{47,2,200008,48,65,66}
{48,9,400003,47,46,50}
{49,1,400003,50,51,64}
{50,9,100009,49,48,52}
{51,1,100009,52,53,49}
{52,9,100010,51,50,54}
{53,1,100010,54,55,51}
{54,9,200009,53,52,78}
{55,1,200009,56,57,53}
{56,8,300007,55,79,76}
{57,1,300007,58,59,55}
{58,7,100011,57,77,74}
{59,1,100011,60,61,57}
{60,1,100012,59,75,62}
{61,1,100012,62,62,59}
{62,1,200010,61,60,61}
{64,1,300002,65,49,15}
{65,2,400003,64,17,47}
{66,2,100006,67,47,17}
{67,3,200008,66,19,45}
{68,3,300003,69,45,19}
{69,4,400002,68,21,43}
{70,4,200003,71,43,21}
{71,5,300006,70,23,41}
{72,5,200004,73,41,23}
{73,6,300005,72,25,39}
{74,7,200006,75,58,34}
{75,1,100011,74,32,60}
{76,8,400001,77,56,36}
{77,7,300007,76,34,58}
{78,9,100008,79,54,38}
{79,8,200009,78,36,56}
